9062	185362	3
9062	223114	1
9062	240371	5
9062	257451	2
9062	326258	4
9062	503312	2
9062	527383	1
9062	540426	4
9062	546469	1
9062	583576	1
9062	584789	11
9062	718743	2
9062	719475	5
9062	821042	5
185362	240371	1
185362	241355	1
185362	470100	1
185362	503312	4
185362	583576	3
185362	584789	4
185362	821042	2
220930	326258	2
220930	412718	7
220930	584789	2
220930	718743	4
223114	240525	1
223114	241204	180
223114	241355	1
223114	257451	1
223114	329358	1
223114	470100	3
223114	540426	21
223114	584789	1
223114	789297	1
223114	796561	2
240371	240525	1
240371	241204	2
240371	257451	3
240371	329358	1
240371	503312	12
240371	546469	1
240371	583576	2
240371	584789	5
240371	719475	7
240371	821042	1
240525	241204	3
240525	241355	1
240525	257451	2
240525	329358	1
240525	412718	5
240525	470100	5
240525	503312	15
240525	540426	1
240525	546469	1
240525	584789	1
240525	718743	2
240525	719475	2
240525	748972	2
240525	782348	5
240525	821042	1
241204	241355	1
241204	257451	16
241204	470100	9
241204	503312	3
241204	540426	24
241204	583576	2
241204	584789	1
241204	719475	2
241204	748972	1
241204	782348	2
241204	789297	1
241204	796561	2
241204	821042	4
241355	257451	4
241355	326258	2
241355	503312	16
241355	583576	1
241355	584789	3
241355	719475	2
241355	796561	1
257451	470100	2
257451	503312	8
257451	540426	1
257451	546469	1
257451	584789	4
257451	718743	1
257451	719475	3
257451	821042	10
326258	503312	1
329358	470100	1
329358	503312	18
329358	584789	4
329358	719475	4
412718	503312	2
412718	583576	1
412718	584789	10
412718	718743	4
470100	503312	8
470100	540426	1
470100	583576	1
470100	584789	3
470100	719475	2
470100	782348	2
470100	784065	1
470100	821042	4
503312	583576	8
503312	584789	17
503312	719475	8
503312	748972	1
503312	782348	1
503312	821042	3
527383	540426	5
527383	584789	2
527383	748972	2
527383	782348	2
540426	546469	1
540426	584789	3
540426	748972	3
540426	782348	4
540426	796561	1
540426	821042	1
546469	584789	2
546469	784065	2
546469	821042	1
583576	584789	21
583576	748972	2
583576	782348	5
583576	784065	1
583576	789297	1
583576	796561	1
583576	821042	8
584789	718743	3
584789	719475	2
584789	748972	2
584789	782348	2
584789	784065	4
584789	796561	3
584789	821042	14
637467	744345	1
637467	784065	5
637467	788377	9
637467	789297	3
637467	793553	5
637467	795175	2
637467	796561	2
718743	719475	1
718743	748972	1
718743	782348	1
718743	784065	2
718743	821042	1
719475	748972	1
719475	782348	6
719475	784065	1
719475	796561	2
719475	821042	3
744345	784065	7
744345	788377	8
744345	789297	2
744345	793553	1
744345	795175	2
744345	796561	4
748972	782348	189
748972	784065	1
748972	821042	3
782348	784065	2
782348	796561	1
782348	821042	5
784065	788377	10
784065	789297	4
784065	793553	4
784065	795175	2
784065	796561	13
784065	821042	4
788377	789297	4
788377	793553	5
788377	795175	8
788377	796561	15
789297	793553	4
789297	795175	1
789297	796561	5
793553	795175	4
793553	796561	6
795175	796561	9
796561	821042	1
