subregion,total_pubs,share_of_africa_pct,cagr_2015_2024,top_country,total_citations,avg_cpp
Southern Africa,95422,27.9,12.7%,South Africa,2736574.0,28.68
East Africa,84530,24.7,17.1%,Ethiopia,2819935.0,33.36
North Africa,81335,23.8,23.9%,Egypt,2374598.0,29.2
West Africa,73043,21.3,17.8%,Nigeria,2340038.0,32.04
Central Africa,7922,2.3,17.9%,Cameroon,376206.0,47.49
