metric,value
total_eid_seg_pairs,1559189
unique_segments,955626
unique_matched,315139
unique_unresolved,640487
pct_matched,32.98
method_manual_override,31
method_manual_unresolvable,119
method_exact,37084
method_exact_stripped,74701
method_acronym,2047
method_fuzzy,191756
method_fuzzy_tiebreak,2724
method_fuzzy_tiebreak_first,6796
method_unresolved,640368
review_candidates,21020
fuzzy_threshold,92
fuzzy_gap,5
